DayNum,NumOT,Totgamepts,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,win/loss
134,1,176,32,69,11,29,17,26,14,30,17,12,5,3,22,1
136,0,131,31,66,7,23,11,14,11,36,22,16,10,7,8,1
136,0,155,31,59,6,14,16,22,10,27,18,9,7,4,19,1
136,0,152,29,53,3,7,18,25,11,20,15,18,13,1,19,1
136,1,150,27,64,7,20,15,23,18,20,17,13,8,2,14,1
136,0,111,17,52,4,14,20,27,12,29,8,14,3,8,16,1
136,0,124,19,54,4,13,25,31,13,27,4,16,10,8,23,1
136,0,143,20,47,6,14,28,37,8,28,12,12,2,2,15,1
136,0,125,24,56,5,14,12,14,15,23,15,14,11,4,14,1
136,0,125,28,51,2,6,6,11,7,20,13,11,8,4,17,1
136,0,140,22,51,9,16,19,23,11,20,14,10,4,3,23,1
136,0,143,28,52,5,13,11,18,9,32,7,23,4,6,19,1
136,0,139,23,54,3,13,21,25,11,33,7,20,6,6,19,1
136,0,125,24,52,10,18,13,24,11,24,16,14,8,3,12,1
136,0,146,29,64,8,24,11,15,12,29,16,14,4,8,24,1
136,0,155,33,57,8,12,10,13,8,26,18,12,6,1,11,1
136,0,155,31,58,6,16,13,22,10,24,16,9,7,2,16,1
137,1,128,25,57,7,18,8,13,14,24,11,15,4,5,16,1
137,0,93,18,47,5,18,6,8,7,19,5,8,3,0,15,1
137,0,140,32,61,13,28,8,14,9,31,24,10,6,3,15,1
137,0,129,19,49,7,18,22,26,13,22,15,8,1,2,17,1
137,0,159,40,65,10,20,5,11,10,25,22,13,7,4,17,1
137,0,150,35,70,8,24,8,13,15,29,18,12,12,4,22,1
137,0,148,27,54,10,19,11,15,8,27,17,13,3,3,20,1
137,0,143,26,56,7,13,20,25,10,28,16,11,5,1,18,1
137,0,140,27,50,7,20,16,28,10,15,15,11,12,0,17,1
137,0,148,33,59,9,16,12,21,10,23,22,9,14,6,19,1
137,0,136,27,52,9,16,17,19,8,25,7,19,9,1,18,1
137,0,141,30,52,4,11,12,15,11,28,16,18,5,9,17,1
137,0,143,31,62,6,16,14,20,19,28,15,14,6,2,16,1
137,0,118,18,61,9,23,15,18,13,23,8,15,7,4,22,1
137,0,149,29,69,6,23,12,20,19,29,13,19,8,9,19,1
137,0,130,26,64,6,20,13,18,17,30,19,10,5,4,11,1
138,2,191,34,74,7,24,21,29,18,29,18,9,7,4,20,1
138,0,159,31,68,6,10,17,21,17,26,12,9,4,1,13,1
138,0,146,32,52,10,15,12,16,4,23,14,11,15,9,18,1
138,0,184,40,59,5,9,23,34,12,28,21,13,6,6,20,1
138,1,193,35,62,12,18,19,20,8,25,18,12,6,0,20,1
138,0,128,25,61,13,24,5,5,5,32,12,11,5,4,13,1
138,0,139,26,51,7,13,15,24,13,23,16,12,2,2,15,1
138,0,121,22,57,6,22,11,17,10,22,12,5,5,3,11,1
139,0,130,24,56,4,19,16,20,12,21,11,14,9,6,18,1
139,0,150,27,52,14,22,11,19,10,18,21,12,6,2,11,1
139,0,128,26,55,4,13,18,18,13,22,11,13,4,3,16,1
139,0,141,30,58,3,13,14,17,7,32,19,8,2,6,21,1
139,0,114,25,45,6,16,12,18,9,21,15,10,5,0,18,1
139,0,126,25,47,4,9,20,28,10,21,15,11,9,1,14,1
139,0,124,26,57,5,12,11,18,5,33,16,17,11,9,19,1
139,0,144,25,62,5,11,22,26,13,27,8,13,4,0,21,1
143,0,159,36,76,7,14,9,11,14,30,19,10,12,5,17,1
143,0,134,29,67,1,12,10,17,18,29,14,17,4,5,16,1
143,0,120,24,49,1,5,14,24,12,21,9,14,10,4,17,1
143,0,151,28,54,6,12,15,22,10,18,16,10,7,3,18,1
144,0,118,22,56,6,17,10,12,11,26,10,18,8,3,20,1
144,0,119,27,55,4,10,7,12,19,20,15,13,6,1,18,1
144,0,157,29,66,5,14,16,21,15,21,14,10,9,7,17,1
144,0,160,24,69,5,18,29,36,21,31,13,10,5,5,21,1
145,0,153,29,67,8,26,12,18,15,22,16,15,13,5,20,1
145,0,152,31,55,10,19,11,15,10,26,21,15,6,6,22,1
146,0,110,25,48,2,12,11,19,12,28,16,24,13,2,13,1
146,0,161,25,51,6,14,29,38,8,20,16,4,6,4,22,1
152,0,155,38,71,8,19,10,17,19,33,22,12,8,5,15,1
152,0,179,32,56,7,13,24,31,9,28,14,13,9,2,21,1
154,0,159,30,63,11,18,10,17,11,25,13,17,10,7,22,1
134,0,129,25,63,6,20,16,23,19,25,11,12,8,2,15,1
136,0,129,24,53,7,16,10,16,11,24,7,12,7,2,7,1
136,0,123,26,52,6,14,12,23,11,31,14,13,6,3,8,1
136,2,145,24,59,5,13,23,40,11,38,13,11,4,3,19,1
136,0,157,32,66,9,26,23,31,17,29,19,14,14,4,19,1
136,0,125,29,54,3,13,15,25,10,36,19,15,6,5,14,1
136,0,135,26,60,6,15,17,21,13,23,10,10,8,4,21,1
136,0,169,29,59,8,18,20,31,16,21,17,14,7,6,20,1
136,0,138,20,46,7,22,25,29,5,23,10,17,6,2,16,1
136,0,115,22,53,4,13,15,18,14,21,12,13,10,1,15,1
136,0,156,27,58,8,22,18,24,12,21,12,10,6,0,19,1
136,0,145,27,60,8,23,20,28,10,26,16,14,15,3,17,1
136,0,116,27,54,6,14,11,15,11,29,11,20,11,9,20,1
136,0,155,24,46,11,16,21,28,5,18,12,7,2,4,15,1
136,0,115,23,50,11,15,9,14,17,26,10,13,3,1,16,1
136,0,149,29,59,4,11,14,18,14,22,17,16,7,2,16,1
136,0,157,28,54,6,16,17,27,9,23,16,11,7,2,16,1
137,0,109,23,44,3,4,9,11,4,21,20,8,4,3,13,1
137,0,157,29,62,13,32,9,11,12,33,22,17,3,11,19,1
137,0,125,25,55,6,18,9,12,8,29,10,12,4,3,14,1
137,0,125,27,60,9,24,9,13,16,28,19,8,5,5,17,1
137,0,131,24,39,5,12,25,40,6,35,18,25,6,8,19,1
137,0,172,35,62,11,28,15,23,13,29,23,17,8,5,15,1
137,0,102,23,59,9,27,4,7,14,22,16,9,3,4,15,1
137,0,137,30,56,8,22,17,23,13,34,19,17,12,3,13,1
137,0,113,18,49,5,17,20,24,13,24,10,15,5,0,20,1
137,0,131,30,55,2,6,13,16,11,26,15,15,12,5,16,1
137,0,124,24,50,6,14,12,18,7,22,17,12,7,1,11,1
137,0,97,13,44,5,16,22,31,10,27,7,13,8,1,15,1
137,0,202,30,65,9,26,33,44,11,26,23,12,8,2,26,1
137,0,129,26,46,11,19,8,18,8,25,16,17,9,5,15,1
137,0,140,25,51,8,18,18,24,11,18,14,9,7,3,11,1
137,0,150,23,46,9,18,25,29,12,27,15,15,6,1,12,1
138,0,137,16,43,4,19,34,44,5,24,8,8,6,8,16,1
138,0,127,26,60,5,16,15,23,13,31,15,5,5,5,15,1
138,0,152,26,48,4,11,34,38,11,29,16,10,3,3,18,1
138,0,163,30,64,8,17,23,29,14,29,18,8,4,4,18,1
138,0,135,27,57,12,31,4,5,11,20,13,13,4,0,16,1
138,0,142,22,55,4,12,24,38,12,26,11,12,7,5,25,1
138,0,153,27,55,5,13,19,23,9,26,10,11,6,1,19,1
138,0,164,29,57,8,20,18,24,8,29,15,10,5,2,18,1
139,0,111,23,51,6,18,5,6,8,16,15,17,12,1,17,1
139,0,160,35,55,11,19,11,14,2,19,26,4,9,1,14,1
139,0,141,29,60,5,15,15,21,15,25,17,13,11,3,15,1
139,0,123,28,47,5,12,9,17,14,20,18,17,8,1,16,1
139,0,114,21,59,2,10,15,19,15,25,10,9,7,3,17,1
139,0,151,30,67,8,18,8,13,18,15,19,12,9,1,19,1
139,0,148,23,49,10,25,19,21,10,17,15,8,4,2,13,1
139,0,163,30,55,13,19,16,23,6,32,14,13,3,9,14,1
143,0,151,26,52,9,22,19,23,10,17,22,9,11,6,17,1
143,0,126,27,51,6,17,13,15,11,33,14,18,6,4,10,1
143,0,114,22,45,4,8,15,16,6,24,13,10,6,5,16,1
143,0,164,29,58,12,24,14,23,10,20,15,11,8,4,21,1
144,0,134,28,51,6,18,10,15,5,24,19,13,10,5,14,1
144,0,139,27,63,6,18,12,22,13,36,10,16,9,5,22,1
144,0,174,30,56,4,10,36,44,10,35,21,17,9,3,19,1
144,0,150,23,58,8,25,25,35,16,23,13,7,6,3,20,1
145,0,158,29,60,10,17,19,29,15,25,17,7,3,7,18,1
145,0,126,25,53,4,17,10,15,12,30,13,13,2,6,16,1
146,0,129,21,54,8,20,16,20,10,29,15,11,6,7,23,1
146,1,150,25,56,3,16,26,34,11,30,14,12,13,3,17,1
152,0,157,26,52,6,11,21,32,13,31,9,18,5,6,20,1
152,0,132,24,49,7,17,12,16,7,22,16,12,7,4,19,1
154,0,155,26,61,5,17,25,39,18,32,10,16,5,2,18,1
134,0,148,29,57,7,15,14,20,14,29,14,17,2,2,14,1
136,0,119,23,49,6,14,14,18,9,24,9,11,3,6,12,1
136,0,150,30,52,8,12,17,25,8,33,24,19,8,6,14,1
136,0,140,27,57,9,18,13,22,9,27,18,8,5,8,19,1
136,0,138,27,59,5,16,15,22,11,29,13,10,5,5,14,1
136,0,122,23,54,6,21,15,21,8,22,16,8,8,2,13,1
136,0,136,26,51,2,11,18,26,9,22,11,14,9,4,11,1
136,0,118,23,62,3,14,12,18,16,33,11,8,4,7,14,1
136,0,151,34,74,3,13,13,15,14,34,16,14,9,3,14,1
136,0,150,26,55,10,20,17,23,10,25,15,12,2,1,18,1
136,0,144,32,52,3,7,11,16,4,28,21,14,7,2,14,1
136,0,150,27,59,7,16,21,36,11,24,15,15,8,2,23,1
136,0,114,21,49,6,24,12,20,15,25,15,18,7,4,13,1
136,0,124,24,58,8,28,14,21,15,22,16,15,10,2,12,1
136,0,165,32,58,9,19,15,22,9,23,19,16,9,1,14,1
136,0,124,22,46,8,20,11,13,8,21,19,16,12,4,15,1
136,0,156,26,50,12,21,19,28,8,14,20,7,6,1,18,1
137,0,127,22,55,8,31,12,16,9,21,17,9,10,1,21,1
137,0,148,29,58,3,6,16,25,14,29,17,13,7,6,13,1
137,0,103,16,39,6,20,19,29,5,27,9,8,5,6,15,1
137,0,129,21,54,7,23,18,19,11,21,15,16,11,8,21,1
137,0,148,28,56,7,16,17,22,10,32,11,17,10,3,22,1
137,0,117,25,57,2,8,12,19,15,24,11,13,12,8,17,1
137,0,130,22,57,6,22,18,27,16,20,12,11,5,2,19,1
137,0,170,29,51,3,14,28,36,5,25,11,13,9,1,22,1
137,0,163,32,57,9,17,20,26,10,29,13,9,3,6,19,1
137,0,138,26,59,4,19,19,22,11,22,14,16,14,8,10,1
137,0,164,37,58,12,19,10,19,15,24,27,15,9,3,13,1
137,0,113,18,37,4,7,23,29,8,22,13,17,11,1,13,1
137,0,121,25,61,4,12,11,14,12,21,12,10,8,2,22,1
137,1,117,22,59,7,21,9,11,13,17,14,16,10,0,12,1
137,0,102,15,53,8,29,17,24,18,29,9,20,12,4,15,1
137,0,109,20,48,11,26,6,10,5,25,14,8,3,2,13,1
138,0,148,30,57,7,22,18,23,11,28,16,16,7,7,14,1
138,0,130,26,49,2,12,17,20,6,26,18,16,9,3,18,1
138,0,129,25,49,7,12,12,18,7,29,16,15,7,5,17,1
138,0,140,29,59,4,11,9,16,8,24,18,7,7,1,14,1
138,0,125,22,37,5,8,18,28,9,30,15,20,2,2,19,1
138,0,176,36,64,9,23,16,19,12,23,17,7,2,3,20,1
138,2,216,37,70,7,21,30,39,10,25,20,11,5,5,26,1
138,0,158,26,55,11,24,20,22,10,16,17,16,11,5,26,1
139,0,118,19,50,8,21,17,21,13,30,8,16,8,6,22,1
139,0,130,22,42,10,21,22,28,9,28,10,11,1,7,15,1
139,0,133,27,56,2,12,16,22,12,27,12,9,4,4,16,1
139,0,127,20,50,10,20,15,17,7,19,13,13,10,4,18,1
139,0,157,31,65,8,25,22,37,15,35,20,13,14,4,18,1
139,0,162,25,46,6,12,29,33,8,22,18,14,3,0,23,1
139,0,141,24,58,3,11,25,35,17,27,10,14,11,4,23,1
139,0,133,21,46,7,17,22,29,8,22,14,7,5,1,12,1
143,0,157,31,47,7,14,10,17,8,23,17,14,3,5,17,1
143,0,140,28,57,9,20,12,15,8,25,20,9,7,2,20,1
143,0,172,31,56,11,26,20,28,10,34,17,17,8,4,18,1
143,0,125,24,51,9,22,8,13,11,20,14,18,5,3,15,1
144,0,114,24,39,4,13,10,19,4,21,10,14,6,2,25,1
144,0,146,27,65,5,14,19,23,16,22,12,16,13,0,22,1
144,0,133,20,48,8,19,19,24,12,30,11,17,3,3,24,1
144,0,121,21,42,4,10,19,25,4,31,7,18,2,0,14,1
145,1,179,32,71,16,35,10,15,14,18,21,13,12,2,18,1
145,1,178,32,58,11,28,18,29,15,19,19,11,8,4,18,1
146,2,182,30,64,10,19,24,30,17,23,15,13,6,3,20,1
146,0,170,34,64,5,16,15,18,12,21,19,9,5,5,15,1
152,0,129,27,56,12,30,6,8,10,28,21,7,4,0,12,1
152,0,158,35,71,6,20,11,17,13,38,18,13,5,6,17,1
154,0,145,27,52,9,16,12,19,8,26,12,10,4,2,13,1
134,0,120,27,61,10,26,7,9,7,31,21,9,2,10,11,1
136,0,175,28,55,12,23,22,31,16,16,15,14,4,3,17,1
136,2,164,29,57,6,23,24,29,7,23,22,8,12,2,16,1
136,0,124,24,49,5,15,17,20,9,26,15,20,9,8,11,1
136,0,126,29,59,10,25,8,10,8,31,21,11,8,7,9,1
136,1,173,31,66,10,22,16,22,15,19,16,10,6,1,20,1
136,0,154,26,50,6,12,21,27,8,25,11,10,4,4,25,1
136,0,147,29,50,8,22,12,14,7,21,17,11,6,1,17,1
136,0,170,35,71,8,26,9,16,15,16,14,9,11,0,16,1
136,0,144,27,51,5,10,21,27,9,30,16,18,8,11,17,1
136,0,166,29,56,6,12,23,27,10,22,18,8,2,2,12,1
136,0,124,24,53,5,21,10,14,11,22,12,13,6,6,15,1
136,0,124,20,56,7,20,19,22,14,24,14,10,8,5,19,1
136,0,122,30,56,4,13,14,17,9,36,20,14,11,4,14,1
136,0,136,28,59,12,27,7,8,5,17,16,7,11,1,14,1
136,0,156,25,55,6,20,26,32,10,22,13,12,8,1,15,1
136,0,152,27,57,10,22,22,32,14,30,19,15,6,3,20,1
137,0,169,35,59,5,10,19,23,11,25,19,9,9,6,19,1
137,0,150,23,52,11,21,20,32,11,24,17,16,6,1,17,1
137,0,114,17,44,11,21,14,18,8,21,10,14,10,2,17,1
137,0,131,27,46,8,16,10,13,7,21,17,16,6,5,9,1
137,0,140,29,49,5,12,12,26,10,30,7,14,4,6,10,1
137,0,103,20,46,5,19,9,14,8,24,15,9,4,4,12,1
137,0,133,19,61,5,25,26,30,20,27,12,8,2,3,16,1
137,0,172,37,61,11,22,9,16,12,21,16,13,10,2,21,1
137,0,110,21,42,5,16,11,17,7,18,10,11,5,1,15,1
137,0,134,22,48,5,18,20,25,12,25,15,17,10,3,12,1
137,0,127,23,60,9,23,9,14,14,17,17,11,9,4,21,1
137,0,132,26,65,5,22,13,23,15,28,10,4,2,4,13,1
137,0,143,31,46,6,14,11,15,4,24,18,12,4,7,13,1
137,0,112,18,45,2,10,22,26,14,28,7,11,4,6,14,1
137,0,103,16,52,7,25,19,23,15,25,7,13,13,1,17,1
137,0,110,22,50,11,32,9,11,9,22,15,11,8,3,10,1
138,0,125,27,63,8,17,7,9,15,29,16,8,2,9,11,1
138,0,135,21,44,6,16,26,37,9,30,12,18,4,10,15,1
138,0,142,30,56,8,20,14,19,10,31,17,10,6,7,19,1
138,0,170,28,61,2,11,32,41,14,27,13,7,9,2,14,1
138,0,115,19,54,2,12,18,23,12,23,5,13,4,6,12,1
138,0,121,24,47,9,25,5,13,7,14,17,11,5,4,20,1
138,0,131,17,45,5,15,28,39,8,27,8,11,5,5,17,1
138,0,153,24,48,9,15,23,29,9,25,16,13,3,2,12,1
139,0,138,22,59,2,6,26,32,16,24,14,8,8,2,16,1
139,0,170,31,62,4,13,21,30,13,22,16,12,7,1,16,1
139,0,125,23,58,4,16,15,19,11,27,14,8,7,2,8,1
139,0,122,27,58,6,14,10,12,12,25,18,8,6,5,10,1
139,0,128,23,48,7,16,19,26,7,18,15,9,10,2,20,1
139,0,129,26,56,8,19,15,19,9,29,17,10,8,3,14,1
139,0,160,28,52,9,19,17,20,12,19,13,13,6,4,19,1
139,0,121,18,46,7,22,24,33,8,20,11,14,13,2,15,1
143,0,116,24,61,2,7,12,23,16,29,14,15,7,9,16,1
143,0,144,31,60,6,15,12,18,11,30,11,13,10,7,18,1
143,0,145,28,58,4,19,14,20,17,28,19,13,8,1,12,1
143,0,144,23,57,6,21,21,30,12,20,12,10,5,4,22,1
144,1,190,27,51,10,19,34,47,10,32,15,26,7,5,20,1
144,0,110,19,45,5,13,14,17,9,22,7,12,4,8,14,1
144,0,118,20,44,8,16,15,23,2,30,12,9,5,5,16,1
144,1,119,21,60,4,19,14,20,15,21,9,11,11,2,21,1
145,1,130,28,66,3,18,11,16,9,33,18,10,8,7,13,1
145,0,95,14,40,2,8,20,39,13,23,7,17,4,2,14,1
146,0,137,22,54,4,17,27,31,19,34,14,16,2,8,22,1
146,1,170,30,60,9,18,17,25,15,22,13,11,6,2,17,1
152,0,131,23,53,12,25,15,19,16,24,8,15,5,4,12,1
152,0,104,21,51,5,18,12,17,15,27,10,17,10,5,24,1
154,0,130,26,58,6,19,15,20,9,26,21,6,7,10,13,1
134,0,146,24,62,8,27,21,28,17,25,10,11,5,2,17,1
136,0,159,30,57,8,20,16,20,11,24,16,8,3,9,10,1
136,0,103,19,46,9,24,10,16,9,26,11,11,6,3,15,1
136,0,135,29,53,7,16,15,20,12,27,17,12,9,4,16,1
136,0,127,23,58,9,25,15,16,12,33,15,13,3,2,14,1
136,0,136,25,51,7,17,21,28,8,18,12,13,11,1,25,1
136,0,152,31,68,6,17,14,19,19,35,19,22,8,4,15,1
136,0,110,22,41,4,10,13,15,4,24,17,15,6,3,18,1
136,0,151,37,57,6,13,6,11,11,27,24,22,7,6,8,1
136,0,135,28,54,11,20,11,18,9,26,14,10,5,2,5,1
136,0,137,30,55,10,21,9,14,8,36,21,17,3,7,12,1
136,0,120,24,51,5,13,15,27,11,29,10,8,4,5,13,1
136,0,112,27,58,10,19,6,9,13,22,18,13,6,5,18,1
136,0,156,26,61,9,16,18,24,14,17,14,11,13,1,26,1
136,0,121,26,61,12,31,13,16,15,26,22,11,6,3,22,1
136,0,124,27,57,5,13,11,12,11,25,12,6,3,8,16,1
136,0,156,24,56,8,17,23,29,13,24,12,10,3,4,19,1
137,0,181,43,73,10,28,16,27,24,38,27,12,5,6,13,1
137,0,174,40,74,13,22,14,26,13,37,29,12,14,7,26,1
137,0,125,20,44,5,19,22,31,10,27,12,11,5,5,18,1
137,0,131,25,62,4,16,19,27,20,25,12,16,6,8,19,1
137,1,148,28,62,7,20,14,17,15,33,16,19,2,9,16,1
137,0,114,19,44,5,16,15,17,4,20,10,5,3,1,12,1
137,0,135,24,63,5,17,19,29,19,20,10,8,12,1,18,1
137,0,112,18,41,2,12,23,30,9,19,11,18,9,3,21,1
137,0,207,43,73,14,27,21,30,16,27,25,6,11,4,20,1
137,0,146,25,51,4,16,25,26,9,21,11,15,8,4,14,1
137,0,130,19,60,8,30,21,27,24,20,15,9,5,5,20,1
137,0,137,25,50,4,13,23,25,9,30,10,12,8,5,18,1
137,0,141,30,56,9,17,15,18,15,26,16,8,3,5,14,1
137,0,106,15,42,6,14,18,28,4,18,11,9,11,4,12,1
137,0,138,28,62,8,21,10,19,10,33,20,13,5,6,16,1
137,0,139,22,55,7,20,25,30,11,23,13,10,8,4,21,1
138,0,121,23,52,12,26,4,6,8,15,14,12,10,0,15,1
138,0,117,22,52,4,16,14,19,17,21,12,10,6,7,14,1
138,0,148,25,52,6,16,25,34,14,26,12,10,6,3,17,1
138,1,149,26,63,9,21,17,20,12,33,10,14,5,6,19,1
138,1,163,31,57,6,12,16,27,14,28,20,16,5,6,17,1
138,0,141,19,41,5,8,29,39,6,19,9,11,6,1,23,1
138,0,103,17,47,2,9,18,24,9,29,10,10,6,2,19,1
138,2,152,27,63,10,27,14,18,11,28,13,17,12,2,17,1
139,0,141,21,42,5,18,27,31,7,24,11,15,7,4,14,1
139,0,164,30,53,10,16,18,23,9,21,19,11,7,5,21,1
139,0,140,23,59,6,17,26,34,16,24,10,10,7,5,16,1
139,0,136,27,56,11,23,10,12,10,21,8,10,4,0,13,1
139,0,111,19,43,12,21,13,23,6,24,11,9,5,3,19,1
139,0,151,22,54,11,26,22,32,12,27,12,16,7,0,25,1
139,0,142,24,52,10,20,16,20,6,27,12,9,3,2,22,1
139,0,155,27,59,6,16,27,38,13,30,13,10,6,2,16,1
143,0,119,25,42,1,6,10,19,6,20,16,19,9,1,16,1
143,0,129,23,54,5,17,14,21,11,20,8,8,2,6,15,1
143,0,169,27,51,8,22,23,35,8,25,13,8,3,5,17,1
143,0,119,18,42,5,13,23,26,6,27,10,14,1,2,18,1
144,0,122,17,34,8,19,23,28,6,21,9,13,1,6,16,1
144,0,131,25,56,8,19,8,14,16,24,14,11,3,3,18,1
144,0,138,30,77,2,14,12,17,20,26,11,9,6,4,14,1
144,0,148,23,48,13,23,17,22,7,30,11,17,4,3,20,1
145,0,168,26,51,5,17,35,41,9,25,9,8,8,2,15,1
145,0,123,24,45,8,17,12,18,10,21,12,25,15,3,14,1
146,0,162,23,48,11,24,28,43,15,24,10,18,5,5,14,1
146,1,180,38,66,8,14,12,18,11,27,26,10,4,11,18,1
152,0,142,24,45,9,22,19,31,8,35,10,16,2,6,17,1
152,0,127,25,57,4,14,13,19,16,21,13,8,8,3,10,1
154,0,159,26,53,10,18,22,25,10,28,11,15,5,3,19,1
134,0,129,19,55,5,20,26,32,13,28,10,11,7,3,16,1
136,0,141,25,58,6,21,15,21,13,27,9,15,11,2,17,1
